Game,#,Key in…,Effect…,Code Source,Original Order
Addams Family ,1,B68-688-3BE,Infinite swords--can switch on/off,Official Code - GBCD0.txt,1
Addams Family ,2,C9E-F8E-081,Infinite energy,Official Code - GBCD0.txt,2
Addams Family ,3,011-B9F-F7F,Start with 1 life,Official Code - GBCD0.txt,3
Addams Family ,4,0A1-B9F-F7F,Start with 10 lives,Official Code - GBCD0.txt,4
Addams Family ,5,218-5FF-D5D + 188-62F-6EA,Infinite Lives,Official Code - GBCD0.txt,5
Addams Family ,6,217-9C9-C41,Pogo stick auto-jump--keep A pressed to stop effect--can switch on/off,Official Code - GBCD0.txt,6
Adventure Island ,1,018-5FF-E66,Start with 2 lives,Official Code - GBCD0.txt,7
Adventure Island ,2,068-5FF-E66,Start with 7 lives,Official Code - GBCD0.txt,8
Adventure Island ,3,098-5FF-E66,Start with 10 lives,Official Code - GBCD0.txt,9
Adventure Island ,4,00A-C88-3BE,Infinite lives,Official Code - GBCD0.txt,10
Adventure Island ,5,006-90E-3BE,Don't lose energy with time (you will lose energy when you hit a rock),Official Code - GBCD0.txt,11
Adventure Island ,6,058-64F-E6E,Go straight to Lake Island (tm),Official Code - GBCD0.txt,12
Adventure Island ,7,048-64F-E6E,Complete choose-an-egg bonus screen before starting game,Official Code - GBCD0.txt,13
Adventure Island ,8,078-64F-E6E,Skip whole game and view romantic end sequence,Official Code - GBCD0.txt,14
Adventure Island II,1,006-DDB-E6E,Infinite lives,"Official Code - GBCD4.txt (VOL. 1, NO. 4) PLUS BONUS TITLES",1351
Adventure Island II,2,000-6DB-E66,Start with 1 life,"Official Code - GBCD4.txt (VOL. 1, NO. 4) PLUS BONUS TITLES",1352
Adventure Island II,3,050-6DB-E66,Start with 6 lives,"Official Code - GBCD4.txt (VOL. 1, NO. 4) PLUS BONUS TITLES",1353
Adventure Island II,4,080-6DB-E66,Start with 9 lives,"Official Code - GBCD4.txt (VOL. 1, NO. 4) PLUS BONUS TITLES",1354
Adventure Island II,5,00E-28F-E6E,"No gradual loss of energy (i.e., no timer) but energy can still be drained by obstacles and enemies","Official Code - GBCD4.txt (VOL. 1, NO. 4) PLUS BONUS TITLES",1355
Adventure Island II,6,3C0-37B-5D4,Start with 1 of each power-up,"Official Code - GBCD4.txt (VOL. 1, NO. 4) PLUS BONUS TITLES",1356
Adventure Island II,7,00D-51A-E6E,"Once you collect any non-throwable object, you can't lose it from menu","Official Code - GBCD4.txt (VOL. 1, NO. 4) PLUS BONUS TITLES",1357
Adventure Island II,8,080-57B-E6E,Start on level 1-4,"Official Code - GBCD4.txt (VOL. 1, NO. 4) PLUS BONUS TITLES",1358
Adventures of Star Saver ,1,001-A6E-F7D,Infinite lives,Official Code - GBCD1.txt,811
Adventures of Star Saver ,2,003-89D-F71,Infinite life ropes,Official Code - GBCD1.txt,812
Adventures of Star Saver ,3,75C-94E-3BA,49 life ropes on pick-up,Official Code - GBCD1.txt,813
Adventures of Star Saver ,4,001-63D-F71 + 00B-B7E-F71 + 00B-DBE-F71,Infinite shields on pick-up,Official Code - GBCD1.txt,814
Adventures of Star Saver ,5,021-99E-E66,Start with 2 lives,Official Code - GBCD1.txt,815
Adventures of Star Saver ,6,041-99E-E66,Start with 4 lives,Official Code - GBCD1.txt,816
Adventures of Star Saver ,7,061-99E-E66,Start with 6 lives,Official Code - GBCD1.txt,817
Adventures of Star Saver ,8,3C1-7FE-5D4,Start with all power-ups (except shields)--1st life only,Official Code - GBCD1.txt,818
Alien 3 ,1,FA7-68E-4C1,Almost infinite energy,Official Code - GBCD2.txt,1010
Alien 3 ,2,04B-27E-E66,Start with 4 tries,Official Code - GBCD2.txt,1011
Alien 3 ,3,06B-27E-E66,Start with 6 tries,Official Code - GBCD2.txt,1012
Alien 3 ,4,0AB-27E-E66,Start with 10 tries,Official Code - GBCD2.txt,1013
Alien 3 ,5,FA6-92E-4C1,Infinite tries,Official Code - GBCD2.txt,1014
Alien 3 ,6,8E4-42D-195,Start with 1/2 energy,Official Code - GBCD2.txt,1015
Alien 3 ,7,00F-9CD-E65,Infinite shots per clip on pick-up,Official Code - GBCD2.txt,1016
Alien 3 ,8,FAB-45D-4C1,Infinite magazine clips on pick-up,Official Code - GBCD2.txt,1017
Alien 3 ,9,32A-3CA-19A,50 shots per magazine clip,Official Code - GBCD2.txt,1018
Alien 3 ,10,4BA-3CA-19A,75 shots per magazine clip,Official Code - GBCD2.txt,1019
Alien 3 ,11,64A-3CA-19A,100 shots per magazine clip,Official Code - GBCD2.txt,1020
Alleyway ,1,FA9-95E-4C1,Infinite time in bonus room--can switch on/off,Official Code - GBCD0.txt,15
Alleyway ,2,FA5-ECF-4C1,Continue from last stage reached,Official Code - GBCD0.txt,16
Alleyway ,3,007-EEF-19E,Infinite paddles,Official Code - GBCD0.txt,17
All-Star Challenge 2,1,095-FB9-7FA + 093-3DD-7FA + 095-C49-7FA,Shot clock for human player is 9 sec.--1-on-1 game,"Official Code - GBCD4.txt (VOL. 1, NO. 4) PLUS BONUS TITLES",1573
All-Star Challenge 2,2,006-5E9-E6E,Infinite time,"Official Code - GBCD5.txt (VOL. 2, NO. 1)",1574
All-Star Challenge 2,3,111-1FD-E66 + 111-18D-E6D,Computer's 3-pt. shots worth 17 points,"Official Code - GBCD5.txt (VOL. 2, NO. 1)",1575
All-Star Challenge 2,4,191-1FD-E66,Computer's 3-pt. shots worth 25 points,"Official Code - GBCD5.txt (VOL. 2, NO. 1)",1576
All-Star Challenge 2,5,36E-F7D-191 + 096-F8D-F7A,Computer makes almost all shots,"Official Code - GBCD5.txt (VOL. 2, NO. 1)",1577
All-Star Challenge 2,6,341-15D-3B2 + 001-16D-E6D,Computer can't score against you,"Official Code - GBCD5.txt (VOL. 2, NO. 1)",1578
Altered Space ,1,002-8EE-3BE,Stop air loss,Official Code - GBCD0.txt,18
Altered Space ,2,004-EFB-A2C,Prevent air loss from touching most droids,Official Code - GBCD0.txt,19
Altered Space ,3,009-2A8-3BE,Infinite use of stun gun,Official Code - GBCD0.txt,20
Amazing Penguin ,1,002-28D-19E,Infinite lives,Official Code - GBCD0.txt,21
Amazing Penguin ,2,32D-45E-E66,Start with 51 lives,Official Code - GBCD0.txt,22
Amazing Penguin ,3,19D-45E-E66,Start with 26 lives,Official Code - GBCD0.txt,23
Amazing Penguin ,4,0AD-45E-E66,Start with 11 lives,Official Code - GBCD0.txt,24
Amazing Penguin ,5,01D-45E-E66,Start with 2 lives,Official Code - GBCD0.txt,25
Amazing Penguin ,6,006-C3E-C49,Infinite time,Official Code - GBCD0.txt,26
Amazing Penguin ,7,175-96F-5D2,Start each level with 1/2 time left,Official Code - GBCD0.txt,27
Amazing Penguin ,8,0F5-96F-5D2,Start each level with 1/3 time left,Official Code - GBCD0.txt,28
Amazing Penguin ,9,05D-A4E-E6E,Start at level 5,Official Code - GBCD0.txt,29
Amazing Penguin ,10,0AD-A4E-E6E,Start at level 10,Official Code - GBCD0.txt,30
Amazing Penguin ,11,0FD-A4E-E6E,Start at level 15,Official Code - GBCD0.txt,31
Amazing Penguin ,12,14D-A4E-E6E,Start at level 20,Official Code - GBCD0.txt,32
Amazing Penguin ,13,19D-A4E-E6E,Start at level 25,Official Code - GBCD0.txt,33
Amazing Penguin ,14,1ED-A4E-E6E,Start at level 30,Official Code - GBCD0.txt,34
Amazing Spider-Man ,1,F03-A1C-6E9,Infinite web,Official Code - GBCD0.txt,35
Amazing Spider-Man ,2,F03-60C-6E9,Infinite energy,Official Code - GBCD0.txt,36
Amazing Spider-Man ,3,C93-30C-193,Infinite lives and web packs,Official Code - GBCD0.txt,37
Amazing Spider-Man ,4,EAA-77E-3B5,Start with 1 web pack,Official Code - GBCD0.txt,38
Amazing Spider-Man ,5,FAA-77E-3B5,Start with 5 web packs,Official Code - GBCD0.txt,39
Amazing Spider-Man ,6,FFA-77E-3B5,Start with 10 web packs,Official Code - GBCD0.txt,40
Amazing Spider-Man ,7,F8A-77E-3B5 + F8A-76E-4C1,Start with 23 web packs,Official Code - GBCD0.txt,41
Amazing Spider-Man ,8,EAA-72E-089,Start with 1 life,Official Code - GBCD0.txt,42
Amazing Spider-Man ,9,FAA-72E-089,Start with 5 lives,Official Code - GBCD0.txt,43
Amazing Spider-Man ,10,FFA-72E-089,Start with 10 lives,Official Code - GBCD0.txt,44
Amazing Spider-Man ,11,F8A-72E-089 + F8A-71E-4C1,Start with 23 lives,Official Code - GBCD0.txt,45
Asteroids,1,013-15F-E66,Start with 1 life,Official Code - GBCD3.txt,1183
