Game,#,Key in…,Effect…,Code Source,Original Order
Addams Family,1,3AB-9F9-195,Start with 1/4 energy 1st life,"Official Code - GGCD5 (VOL. 1, NO. 2).txt",1026
Addams Family,2,7AB-9F9-195,Start with 1/2 energy 1st life,"Official Code - GGCD5 (VOL. 1, NO. 2).txt",1027
Addams Family,3,BBB-9F9-195,Start with 3/4 energy 1st life,"Official Code - GGCD5 (VOL. 1, NO. 2).txt",1028
Addams Family,4,01B-AD9-F7E,Start with 2 lives,"Official Code - GGCD5 (VOL. 1, NO. 2).txt",1029
Addams Family,5,07B-AD9-F7E,Start with 8 lives,"Official Code - GGCD5 (VOL. 1, NO. 2).txt",1030
Addams Family,6,09B-AD9-F7E,Start with 10 lives,"Official Code - GGCD5 (VOL. 1, NO. 2).txt",1031
Addams Family,7,006-46F-F7A,Immune to everything,"Official Code - GGCD5 (VOL. 1, NO. 2).txt",1032
Addams Family,8,3A4-D1F-2A2,Infinite lives,"Official Code - GGCD5 (VOL. 1, NO. 2).txt",1033
Alien 3,1,00B-3D6-3BE,Infinite time--but timer still counts down,Official Code - GGCD1.txt,1
Alien 3,2,002-B1C-3B7,Infinite energy,Official Code - GGCD1.txt,2
Alien 3,3,00C-F2A-F79,Infinite lives,Official Code - GGCD1.txt,3
Alien 3,4,008-0D7-3BE,Infinite ammo for grenade launcher on pickup,Official Code - GGCD1.txt,4
Alien 3,5,002-6E6-19E,Infinite ammo for flame thrower on pickup,Official Code - GGCD1.txt,5
Alien 3,6,006-4A7-19E,Infinite ammo for machine gun on pickup,Official Code - GGCD1.txt,6
Alien 3,7,058-BA8-E66,Start with 5 lives,Official Code - GGCD1.txt,7
Alien 3,8,078-BA8-E66,Start with 7 lives,Official Code - GGCD1.txt,8
Alien 3,9,098-BA8-E66,Start with 9 lives,Official Code - GGCD1.txt,9
Alien Syndrome,1,010-75F-E66,Start with 1 life,Official Code - GGCD1.txt,10
Alien Syndrome,2,050-75F-E66,Start with 5 lives,Official Code - GGCD1.txt,11
Alien Syndrome,3,090-75F-E66,Start with 9 lives,Official Code - GGCD1.txt,12
Alien Syndrome,4,058-39F-E66,Start with 500 sec.,Official Code - GGCD1.txt,13
Alien Syndrome,5,098-39F-E66,Start with 900 sec.,Official Code - GGCD1.txt,14
Arch Rivals,1,01C-ACF-F7A,1-minute quarters,Official Code - GGCD1.txt,15
Arch Rivals,2,03C-ACF-F7A,3-minute quarters,Official Code - GGCD1.txt,16
Arch Rivals,3,07C-ACF-F7A,7-minute quarters,Official Code - GGCD1.txt,17
Arch Rivals,4,02E-2FE-E6E,Faster timer,Official Code - GGCD1.txt,18
Arch Rivals,5,00E-2FE-E6E,Infinite time,Official Code - GGCD1.txt,19
Arch Rivals,6,00F-7DE-3B7,Computer opponents can't score,Official Code - GGCD1.txt,20
"Ariel, Disney's The Little Mermaid",1,006-109-19E,Infinite lives,Official Code - GGCD1.txt,21
"Ariel, Disney's The Little Mermaid",2,AF5-AA9-19E,Collect 1 polyp to find exit,Official Code - GGCD1.txt,22
"Ariel, Disney's The Little Mermaid",3,027-4AF-F7A,Start with 3 lives,Official Code - GGCD1.txt,23
"Ariel, Disney's The Little Mermaid",4,077-4AF-F7A,Start with 8 lives,Official Code - GGCD1.txt,24
"Ariel, Disney's The Little Mermaid",,*=Ignore counter,,Official Code - GGCD1.txt,25
"Ariel, Disney's The Little Mermaid",5,097-4AF-F7A,*Start with 10 lives,Official Code - GGCD1.txt,26
"Ariel, Disney's The Little Mermaid",6,197-4AF-F7A,*Start with 26 lives,Official Code - GGCD1.txt,27
"Ariel, Disney's The Little Mermaid",7,327-4AF-F7A,*Start with 51 lives,Official Code - GGCD1.txt,28
"Ariel, Disney's The Little Mermaid",8,627-4AF-F7A,*Start with 99 lives,Official Code - GGCD1.txt,29
"Ariel, Disney's The Little Mermaid",9,005-039-E6E,Infinite keys,Official Code - GGCD1.txt,30
