Game,#,Key in…,Effect…,Code Source,Original Order
688 Attack Sub,   1,AALT-CNE2 + AALT-CNGR,6 torpedoes--Torpex '89 mission,The Big Book of Game Genie Codes,1
688 Attack Sub,   2,AALT-CNE8 + A2LT-CAGY,6 torpedoes--Shake 'Em mission,The Big Book of Game Genie Codes,2
688 Attack Sub,   3,A2LT-CAG4,6 torpedoes--Sub Ops mission,The Big Book of Game Genie Codes,3
688 Attack Sub,   4,AALT-CNFE,6 torpedoes--Mumar Cadaver mission,The Big Book of Game Genie Codes,4
688 Attack Sub,   5,AALT-CNFL + A2LT-CAHA,6 torpedoes--Escape mission,The Big Book of Game Genie Codes,5
688 Attack Sub,   6,AALT-CNFT,6 torpedoes--Goulash mission,The Big Book of Game Genie Codes,6
688 Attack Sub,   7,AALT-CNF0 + A2LT-CAHG,6 torpedoes--Cat Walk mission,The Big Book of Game Genie Codes,7
688 Attack Sub,   8,AALT-CNF6 + A2LT-CAHN,6 torpedoes--Surprise Party mission,The Big Book of Game Genie Codes,8
688 Attack Sub,   9,AALT-CNGC + A2LT-CAHW,6 torpedoes--Homecoming mission,The Big Book of Game Genie Codes,9
688 Attack Sub, 10,AALT-CNGJ,6 torpedoes--Hit and Run mission,The Big Book of Game Genie Codes,10
688 Attack Sub, 11,AALT-CAN2 + AALT-CARR,32 torpedoes--Torpex '89 mission,The Big Book of Game Genie Codes,11
688 Attack Sub, 12,AALT-CAN8 + EALT-CAGY,32 torpedoes--Shake 'Em mission,The Big Book of Game Genie Codes,12
688 Attack Sub, 13,EALT-CAG4,32 torpedoes--Sub Ops mission,The Big Book of Game Genie Codes,13
688 Attack Sub, 14,AALT-CAPE,32 torpedoes--Mumar Cadaver mission,The Big Book of Game Genie Codes,14
688 Attack Sub, 15,AALT-CAPL + EALT-CAHA,32 torpedoes--Escape mission,The Big Book of Game Genie Codes,15
688 Attack Sub, 16,AALT-CAPT,32 torpedoes--Goulash mission,The Big Book of Game Genie Codes,16
688 Attack Sub, 17,AALT-CAP0 + EALT-CAHG,32 torpedoes--Cat Walk mission,The Big Book of Game Genie Codes,17
688 Attack Sub, 18,AALT-CAP6 + EALT-CAHN,32 torpedoes--Surprise Party mission,The Big Book of Game Genie Codes,18
688 Attack Sub, 19,AALT-CARC + EALT-CAHW,32 torpedoes--Homecoming mission,The Big Book of Game Genie Codes,19
688 Attack Sub, 20,AALT-CARJ,32 torpedoes--Hit and Run mission,The Big Book of Game Genie Codes,20
688 Attack Sub, 21,A2LT-DAE6 + A2LT-DAGW,16 missiles--Torpex '89 mission,The Big Book of Game Genie Codes,21
688 Attack Sub, 22,A2LT-DAFC,16 missiles--Shake 'Em mission,The Big Book of Game Genie Codes,22
688 Attack Sub, 23,A2LT-DAFJ,16 missiles--Mumar Cadaver mission,The Big Book of Game Genie Codes,23
688 Attack Sub, 24,A2LT-DAFR,16 missiles--Escape mission,The Big Book of Game Genie Codes,24
688 Attack Sub, 25,A2LT-DAFY,16 missiles--Goulash mission,The Big Book of Game Genie Codes,25
688 Attack Sub, 26,A2LT-DAF4,16 missiles--Cat Walk mission,The Big Book of Game Genie Codes,26
688 Attack Sub, 27,A2LT-DAGA,16 missiles--Surprise Party mission,The Big Book of Game Genie Codes,27
688 Attack Sub, 28,A2LT-DAGG,16 missiles--Homecoming mission,The Big Book of Game Genie Codes,28
688 Attack Sub, 29,CALT-CAGL,16 missiles--Hit and Run mission,The Big Book of Game Genie Codes,29
688 Attack Sub, 30,AALT-CAE2+AALT-CAE6 +REHT-A6ZY,All subs carry 0 torpedoes,The Big Book of Game Genie Codes,30
688 Attack Sub, 31,AYLT-CLE2+AALT-CAE6 +REHT-A6ZY,All subs carry 5 torpedoes,The Big Book of Game Genie Codes,31
688 Attack Sub, 32,AYLT-CLE2+AYLT-CLE6 +REHT-A6ZY,"All subs: 5 torpedoes, 5 missiles & 5 noisemakers",The Big Book of Game Genie Codes,32
688 Attack Sub, 33,BJLT-CYE2+AALT-CAE6 +REHT-A6ZY,"All subs: 10 torpedoes, 0 missiles & 0 noisemakers",The Big Book of Game Genie Codes,33
688 Attack Sub, 34,BJLT-CYE2+BJLT-CYE6 +REHT-A6ZY,"All subs: 10 torpedoes,10 missiles & 10  noisemakers",The Big Book of Game Genie Codes,34
688 Attack Sub, 35,B6LT-C8E2+B6LT-C8E6 +REHT-A6ZY,"All subs: 15 torpedoes,15 missiles & 15  noisemakers",The Big Book of Game Genie Codes,35
688 Attack Sub, 36,DELT-DWE2+DELT-DWE6 +REHT-A6ZY,"All subs: 25 torpedoes,25 missiles & 25  noisemakers",The Big Book of Game Genie Codes,36
688 Attack Sub, 37,AJHA-BT8L+HF9T-AJGL +AF9T-AAGN+2THT-BGA4,Emergency Surface manuever can  be performed 2x,The Big Book of Game Genie Codes,37
688 Attack Sub, 38,ATHA-BT8L+HF9T-AJGL +AF9T-AAGN+2THT-BGA4,Emergency Surface manuever can be performed 4x,The Big Book of Game Genie Codes,38
688 Attack Sub, 39,BAHA-BT8L+ HF9T-AJGL +AF9T-AAGN+2THT-  BGA4  ,Emergency Surface manuever can be performed 8x,The Big Book of Game Genie Codes,39
688 Attack Sub, 40,A39T-AA8L,Infinite Emergency Surface manuevers,The Big Book of Game Genie Codes,40
688 Attack Sub, 41,HEHT-AET4,Emergency Surface manuever cannot be performed,The Big Book of Game Genie Codes,41
