Game,#,Key in…,Effect…,Code Source,Original Order
1942,1,PASIOALE,Both players start with 9 rolls,Official Code - gg_nes.htm,1
1942,2,IESUTYZA,"Start with 6 lives, 1-player game only",Official Code - gg_nes.htm,2
1942,3,AESUTYZE,"Start with 9 lives, 1-player game only",Official Code - gg_nes.htm,3
1942,4,IAKUUAZA,"After continue, player 1 has 6 lives in 2-player game",Official Code - gg_nes.htm,4
1942,5,AAKUUAZE,"After continue, player 1 has 9 lives in 2-player game",Official Code - gg_nes.htm,5
1942,6,IASUOAZA,Player 2 has 6 lives in 2-player game,Official Code - gg_nes.htm,6
1942,7,AASUOAZE,Player 2 has 9 lives in 2-player game,Official Code - gg_nes.htm,7
1943,1,ZESNLLLE,10 power points,Official Code - gg_nes.htm,8
1943,2,GOSNLLLA,20 power points,Official Code - gg_nes.htm,9
1943,3,TOSNLLLE,30 power points,Official Code - gg_nes.htm,10
1943,4,AEVYZLAE,Start on mission 5,Official Code - gg_nes.htm,11
1943,5,ZOVYZLAA,Start on mission 10,Official Code - gg_nes.htm,12
1943,6,GOVYZLAE,Start on mission 15,Official Code - gg_nes.htm,13
1943,7,TXVYZLAA,Start on mission 20,Official Code - gg_nes.htm,14
3D Worldrunner,1,AEUOLTPA,Infinite lives,Official Code - gg_nes.htm,15
3D Worldrunner,2,PEUPPTLA + PLVOLTLL,Start with 1 life,Official Code - gg_nes.htm,16
3D Worldrunner,3,TEUPPTLA + TLVOLTLL,Start with 6 lives,Official Code - gg_nes.htm,17
3D Worldrunner,4,PEUPPTLE + PLVOLTLU,Start with 9 lives,Official Code - gg_nes.htm,18
3D Worldrunner,5,SXUPZGVG,Freeze timer,Official Code - gg_nes.htm,19
3D Worldrunner,6,NNXOYGEK,Slow down timer,Official Code - gg_nes.htm,20
3D Worldrunner,7,AVXOYGEG,Speed up timer,Official Code - gg_nes.htm,21
3D Worldrunner,8,AEUOVIGA,Start with and keep laser missiles,Official Code - gg_nes.htm,22
3D Worldrunner,9,OXUONISX,Autofire,Official Code - gg_nes.htm,23
3D Worldrunner,10,XZEAUOOZ + PAEAKPAA + VAEASPSA,Start on world 2,Official Code - gg_nes.htm,24
3D Worldrunner,11,XZEAUOOZ + ZAEAKPAA + VAEASPSA,Start on world 3,Official Code - gg_nes.htm,25
3D Worldrunner,12,XZEAUOOZ + LAEAKPAA + VAEASPSA,Start on world 4,Official Code - gg_nes.htm,26
3D Worldrunner,13,XZEAUOOZ + GAEAKPAA + VAEASPSA,Start on world 5,Official Code - gg_nes.htm,27
3D Worldrunner,14,XZEAUOOZ + IAEAKPAA + VAEASPSA,Start on world 6,Official Code - gg_nes.htm,28
3D Worldrunner,15,XZEAUOOZ + TAEAKPAA + VAEASPSA,Start on world 7,Official Code - gg_nes.htm,29
720 Degrees,1,SZUYASVK,Infinite continues,Official Code - gg_nes.htm,30
720 Degrees,2,PEXKLZLE,9 continues,Official Code - gg_nes.htm,31
720 Degrees,3,TEXKLZLA,6 continues,Official Code - gg_nes.htm,32
720 Degrees,4,PEXKLZLA,"No continues, instead of usual 2",Official Code - gg_nes.htm,33
720 Degrees,5,GEKKYZAA,Start with all equipment,Official Code - gg_nes.htm,34
720 Degrees,6,ZEKKYZAA,Start with half equipment,Official Code - gg_nes.htm,35
720 Degrees,7,XVXGGXSX + OXXGIXTE + ZEXGTZZA,Start on level 2,Official Code - gg_nes.htm,36
720 Degrees,8,XVXGGXSX + OXXGIXTE + LEXGTZZA,Start on level 3,Official Code - gg_nes.htm,37
720 Degrees,9,XVXGGXSX + OXXGIXTE + GEXGTZZA,Start on level 4,Official Code - gg_nes.htm,38
8 Eyes,1,GXOUSUSE,Most attacks won't damage Orin,Official Code - gg_nes.htm,39
8 Eyes,2,GXNGNOSE,Most attacks won't damage Cutrus,Official Code - gg_nes.htm,40
8 Eyes,3,AGVXGXYZ,Start with more energy--Orin,Official Code - gg_nes.htm,41
8 Eyes,4,AGVXIXYZ,Start with more energy--Cutrus,Official Code - gg_nes.htm,42
8 Eyes,5,YZVXTZAE,Start game with some item power,Official Code - gg_nes.htm,43
8 Eyes,6,GXSLKVSE,Never lose item power once gained,Official Code - gg_nes.htm,44
8 Eyes,7,VTOVNTVA,Start game with dagger,Official Code - gg_nes.htm,45
A Boy and His Blob,1,AAULNGIA,1 life only,Official Code - gg_nes.htm,706
A Boy and His Blob,2,ZAULNGIE,Double lives,Official Code - gg_nes.htm,707
A Boy and His Blob,3,GXXEOPVG,Infinite lives,Official Code - gg_nes.htm,708
A Boy and His Blob,4,SZXLXKSU + YYXLUGEY,Gives 101 of all starting Jellybeans,Official Code - gg_nes.htm,709
A Boy and His Blob,5,AAVKIPPA,Infinite Jellybeans,Official Code - gg_nes.htm,710
A Boy and His Blob,6,SXEEZAAX,Fast play,Official Code - gg_nes.htm,711
A Boy and His Blob,,"Note for blob code 7: in the underwater section, if you lose a life you may not be able to call your Blob, and therefore become trapped.  If this happens, just reset and start again.",,Official Code - gg_nes.htm,712
A Boy and His Blob,7,AVOGAEOZ,Invincible,Official Code - gg_nes.htm,713
A Boy and His Blob,8,AVOPVGEI,Never take damage from enemies,Official Code - gg_nes.htm,714
A Boy and His Blob,9,APEUUIAA,Gives 10 Orange Jellybeans,Official Code - gg_nes.htm,715
A Boy and His Blob,10,AONUSGAA,10 Lime Jellybeans,Official Code - gg_nes.htm,716
A Boy and His Blob,11,OONLOGZN,99 Licorice Jellybeans,Official Code - gg_nes.htm,717
A Boy and His Blob,12,AUNLUGIP,Double Strawberry Jellybeans,Official Code - gg_nes.htm,718
A Boy and His Blob,13,TUNLNKAP,Double Cola Jellybeans,Official Code - gg_nes.htm,719
A Boy and His Blob,14,AKNUOGGX,Double Cinnamon Jellybeans,Official Code - gg_nes.htm,720
A Boy and His Blob,15,GXNUUGZP,Double Apple Jellybeans,Official Code - gg_nes.htm,721
A Boy and His Blob,16,AVNUNGAL,Double Vanilla Jellybeans,Official Code - gg_nes.htm,722
A Boy and His Blob,17,ZPELNITA,Double Ketchup Jellybeans,Official Code - gg_nes.htm,723
A Boy and His Blob,18,AONLSGTE,Triple Coconut Jellybeans,Official Code - gg_nes.htm,724
A Boy and His Blob,19,APELUITE,Triple Rootbeer Jellybeans,Official Code - gg_nes.htm,725
A Boy and His Blob,20,APEUSIAA,10 Vitamin A for Vita-Blaster,Official Code - gg_nes.htm,726
A Boy and His Blob,21,APEUNIAA,10 Vitamin B for Vita-Blaster,Official Code - gg_nes.htm,727
