Game,#,Key in…,Effect…,Code Source,Original Order
AAAHH!!! Real Monsters,1,C282-04A7,Infinite energy,Official Code - gg_snes.txt,59
AAAHH!!! Real Monsters,2,DD8E-4DD7,Infinite garbage,Official Code - gg_snes.txt,60
AAAHH!!! Real Monsters,3,DDC8-0FAF,Get nothing for each trash bag,Official Code - gg_snes.txt,61
AAAHH!!! Real Monsters,4,4DC8-0FAF,Get 20 for each trash bag,Official Code - gg_snes.txt,62
AAAHH!!! Real Monsters,5,88C8-0FAF,Get 100 for each trash bag,Official Code - gg_snes.txt,63
AAAHH!!! Real Monsters,6,DDC0-3FDF,Infinite lives,Official Code - gg_snes.txt,64
AAAHH!!! Real Monsters,7,DDAA-1464,Infinite scares,Official Code - gg_snes.txt,65
AAAHH!!! Real Monsters,8,DDCE-6F6D,1-ups worth nothing,Official Code - gg_snes.txt,66
AAAHH!!! Real Monsters,9,D7CE-6F6D,1-ups worth 3,Official Code - gg_snes.txt,67
AAAHH!!! Real Monsters,10,D9CE-6F6D,1-ups worth 5,Official Code - gg_snes.txt,68
AAAHH!!! Real Monsters,11,DFC7-17FC,Start with 1 life,Official Code - gg_snes.txt,69
AAAHH!!! Real Monsters,12,DBC7-17FC,Start with 10 lives,Official Code - gg_snes.txt,70
AAAHH!!! Real Monsters,13,0BC7-17FC,Start with 50 lives,Official Code - gg_snes.txt,71
AAAHH!!! Real Monsters,14,DD69-37BF,Start with 0 special scares,Official Code - gg_snes.txt,72
AAAHH!!! Real Monsters,15,FD69-37BF,Start with 10 special scares,Official Code - gg_snes.txt,73
AAAHH!!! Real Monsters,16,4D69-37BF,Start with 20 special scares,Official Code - gg_snes.txt,74
AAAHH!!! Real Monsters,17,DDCA-AF0D,Monster books are worth nothing,Official Code - gg_snes.txt,75
AAAHH!!! Real Monsters,18,D4CA-AF0D,Monster books are worth 2,Official Code - gg_snes.txt,76
AAAHH!!! Real Monsters,19,FDCA-AF0D,Monster books are worth 10,Official Code - gg_snes.txt,77
AAAHH!!! Real Monsters,20,DDCB-A7DD,Most health power-ups worth nothing,Official Code - gg_snes.txt,78
AAAHH!!! Real Monsters,21,D4CB-A7DD,Most health power-ups worth more,Official Code - gg_snes.txt,79
Act Raiser,1,2264-6FD4,Almost invincible in action sequences,Official Code - gg_snes.txt,80
Act Raiser,2,D081-6DD8,Start with 1/2 energy--1st game only,Official Code - gg_snes.txt,81
Act Raiser,3,DD8B-D4D8,Stop timer,Official Code - gg_snes.txt,82
Act Raiser,4,FD86-D4A8,Faster timer,Official Code - gg_snes.txt,83
Act Raiser,5,9D86-D4A8,Slower timer,Official Code - gg_snes.txt,84
ActRaiser 2,1,D727-4DD1,Start with 3 lives on Easy,Official Code - gg_snes.txt,85
ActRaiser 2,2,FD27-4DD1,Start with 10 lives on Easy,Official Code - gg_snes.txt,86
ActRaiser 2,3,9D27-4DD1,Start with 50 lives on Easy,Official Code - gg_snes.txt,87
ActRaiser 2,4,DF27-4D61,Start with 1 life on Normal,Official Code - gg_snes.txt,88
ActRaiser 2,5,D927-4D61,Start with 5 lives on Normal,Official Code - gg_snes.txt,89
ActRaiser 2,6,FD27-4D61,Start with 10 lives on Normal,Official Code - gg_snes.txt,90
ActRaiser 2,7,9D27-4D61,Start with 50 lives on Normal,Official Code - gg_snes.txt,91
ActRaiser 2,8,DF27-4FD1,Start with 1 life on Hard,Official Code - gg_snes.txt,92
ActRaiser 2,9,D927-4FD1,Start with 5 lives on Hard,Official Code - gg_snes.txt,93
ActRaiser 2,10,FD27-4FD1,Start with 10 lives on Hard,Official Code - gg_snes.txt,94
ActRaiser 2,11,9D27-4FD1,Start with 50 lives on Hard,Official Code - gg_snes.txt,95
ActRaiser 2,12,DD67-4468,Infinite lives,Official Code - gg_snes.txt,96
ActRaiser 2,13,D484-1F66,Start with 2 magic pts. on Easy,Official Code - gg_snes.txt,97
ActRaiser 2,14,D584-1F66,Start with 7 magic pts. on Easy,Official Code - gg_snes.txt,98
ActRaiser 2,15,DB84-1F66,Start with 9 magic pts. on Easy,Official Code - gg_snes.txt,99
ActRaiser 2,16,DF8F-1766,Start with 1 magic pts. on Normal or Hard,Official Code - gg_snes.txt,100
ActRaiser 2,17,D98F-1766,Start with 5 magic pts. on Normal or Hard,Official Code - gg_snes.txt,101
ActRaiser 2,18,D58F-1766,Start with 7 magic pts. on Normal or Hard,Official Code - gg_snes.txt,102
ActRaiser 2,19,DB8F-1766,Start with 9 magic pts. on Normal or Hard,Official Code - gg_snes.txt,103
ActRaiser 2,20,3C65-CFA8,Infinite magic pts. (must have 1 to cast),Official Code - gg_snes.txt,104
ActRaiser 2,21,DC8F-1F06,Start with 1/2 health,Official Code - gg_snes.txt,105
ActRaiser 2,22,DE8F-1F06,Start with 3/4 health,Official Code - gg_snes.txt,106
ActRaiser 2,23,C2B0-CF07,Protection from most enemies,Official Code - gg_snes.txt,107
ActRaiser 2,24,C2B2-C7D3,Protection from some ground hazards,Official Code - gg_snes.txt,108
ActRaiser 2,25,D7C0-37A7,Small magic power-up adds 3 instead of 1,Official Code - gg_snes.txt,109
ActRaiser 2,26,D9C0-37A7,Small magic power-up adds 5,Official Code - gg_snes.txt,110
ActRaiser 2,27,DBC0-37A7,Small magic power-up adds 9,Official Code - gg_snes.txt,111
ActRaiser 2,28,DFC9-3407,Large magic power-up adds 1 instead of 3,Official Code - gg_snes.txt,112
ActRaiser 2,29,D9C9-3407,Large magic power-up adds 5,Official Code - gg_snes.txt,113
ActRaiser 2,30,DBC9-3407,Large magic power-up adds 9,Official Code - gg_snes.txt,114
ActRaiser 2,31,DFC7-3D67,Small health power-ups add 1 instead of 2,Official Code - gg_snes.txt,115
ActRaiser 2,32,D0C7-3D67,Small health power-ups add 4,Official Code - gg_snes.txt,116
ActRaiser 2,33,F9C7-3D67,Small health power-ups add 15,Official Code - gg_snes.txt,117
ActRaiser 2,34,F0C7-3D67,Small health power-ups heal completely,Official Code - gg_snes.txt,118
ActRaiser 2,35,D4C9-3FD7,Medium health power-ups add 2 instead of 5,Official Code - gg_snes.txt,119
ActRaiser 2,36,D6C9-3FD7,Medium health power-ups add 8,Official Code - gg_snes.txt,120
ActRaiser 2,37,F9C9-3FD7,Medium health power-ups add 15,Official Code - gg_snes.txt,121
ActRaiser 2,38,F0C9-3FD7,Medium health power-ups heal completely,Official Code - gg_snes.txt,122
ActRaiser 2,39,D4C7-3FA7,Large health power-ups add 2 instead of 10,Official Code - gg_snes.txt,123
ActRaiser 2,40,D0C7-3FA7,Large health power-ups add 5,Official Code - gg_snes.txt,124
ActRaiser 2,41,F9C7-3FA7,Large health power-ups add 15,Official Code - gg_snes.txt,125
ActRaiser 2,42,F0C7-3FA7,Large health power-ups heal completely,Official Code - gg_snes.txt,126
ActRaiser 2,43,DDB3-C764,All enemies take 1 hit to kill,Official Code - gg_snes.txt,127
ActRaiser 2,44,DD33-476F,Infinite time,Official Code - gg_snes.txt,128
Addams Family,1,DFB8-6F04,Start with 1 life instead of 5,Official Code - gg_snes.txt,129
Addams Family,2,D7B8-6F04,Start with 3 lives,Official Code - gg_snes.txt,130
Addams Family,3,DBB8-6F04,Start with 9 lives,Official Code - gg_snes.txt,131
Addams Family,4,4DB8-6F04,Start with 20 lives,Official Code - gg_snes.txt,132
Addams Family,5,9DB8-6F04,Start with 50 lives,Official Code - gg_snes.txt,133
Addams Family,6,BBB8-6F04,Start with 99 lives,Official Code - gg_snes.txt,134
Addams Family,7,DDA1-A4A7,Infinite lives,Official Code - gg_snes.txt,135
Addams Family,8,3CA7-A467,Invincibility,Official Code - gg_snes.txt,136
Addams Family,9,D9CF-DDAF,Each $ worth 5,Official Code - gg_snes.txt,137
Addams Family,10,FDCF-DDAF,Each $ worth 10,Official Code - gg_snes.txt,138
Addams Family,11,49CF-DDAF,Each $ worth 25,Official Code - gg_snes.txt,139
Addams Family,12,DF61-0F0D + DF61-0F6D,Start with 1 heart instead of 2,Official Code - gg_snes.txt,140
Addams Family,13,D761-0F0D + D761-0F6D,Start with 3 hearts,Official Code - gg_snes.txt,141
Addams Family,14,D061-0F0D + D061-0F6D,Start with 4 hearts,Official Code - gg_snes.txt,142
Addams Family,15,D961-0F0D + D961-0F6D,Start with 5 hearts,Official Code - gg_snes.txt,143
Addams Family,,"NOTE ON CODE 16: AFTER DEFEATING A BOSS, LAND BEFORE THE PASSWORD SCREEN COMES UP.  ALSO, IF YOU FLY IN THE WRONG PLACE, YOU CAN GET TRAPPED AND HAVE TO RESET",,Official Code - gg_snes.txt,144
Addams Family,16,3CAD-A46D + 60BA-6704,Start with and keep Fezi-copter(tm) flying abilities,Official Code - gg_snes.txt,145
Addams Family,17,3CAD-A4D4,Invisible Gomez(tm),Official Code - gg_snes.txt,146
Aero the Acro-Bat 2,1,DD24-476E,Infinite shots,Official Code - gg_snes.txt,175
Aero the Acro-Bat 2,2,D7C8-17D3,Stars worth 3,Official Code - gg_snes.txt,176
Aero the Acro-Bat 2,3,D9C8-17D3,Stars worth 5,Official Code - gg_snes.txt,177
Aero the Acro-Bat 2,4,D5C8-17D3,Stars worth 7,Official Code - gg_snes.txt,178
Aero the Acro-Bat 2,5,C287-CFAE,Almost infinite energy,Official Code - gg_snes.txt,179
Aero the Acro-Bat 2,6,BBC2-C463,Double Drill icon lasts 99 seconds,Official Code - gg_snes.txt,180
Aero the Acro-Bat 2,7,D0C2-CD03,Double Drill icon lets you drill 4 times instead of 2,Official Code - gg_snes.txt,181
Aero the Acro-Bat 2,8,DBC2-CD03,Double Drill icon lets you drill 9 times instead of 2,Official Code - gg_snes.txt,182
Aero the Acro-Bat 2,9,D936-4DF1,Can drill 5 times in the air until you pick up a drill icon,Official Code - gg_snes.txt,183
Aero the Acro-Bat 2,10,DB36-4DF1,Can drill 9 times in the air until you pick up a drill icon,Official Code - gg_snes.txt,184
Aero the Acro-Bat 2,11,C26E-4F03,Drill as many times as you want without hitting the ground,Official Code - gg_snes.txt,185
Aero the Acro-Bat 2,12,D468-CDAA + E26A-CD0A,Move faster,Official Code - gg_snes.txt,186
Aero the Acro-Bat 2,13,D768-CDAA + EA6A-CD0A,Move even faster,Official Code - gg_snes.txt,187
Aero the Acro-Bat 2,14,FD67-3DD2,Jump higher,Official Code - gg_snes.txt,188
Aero the Acro-Bat 2,15,E66E-4F62 + E661-C762,Super jump when standing still,Official Code - gg_snes.txt,189
Aero the Acro-Bat 2,16,BBC3-3D63,Flying icon worth 99 seconds of flight time,Official Code - gg_snes.txt,190
Aero the Acro-Bat 2,17,D939-14F1,Start each life with maximum energy,Official Code - gg_snes.txt,191
Aerobiz,1,DDA6-0DFD,"In scenario 1, Tokyo starts with $649,280,000",Official Code - gg_snes.txt,192
Aerobiz,2,D9A6-0DFD,"In scenario 1, Tokyo starts with $7,202,880,000",Official Code - gg_snes.txt,193
Aerobiz,3,94A6-0D2D,"In scenario 1, Beijing starts with $420,160,000",Official Code - gg_snes.txt,194
Aerobiz,4,D9A6-0FFD,"In scenario 1, Beijing starts with $7,393,600,000",Official Code - gg_snes.txt,195
Aerobiz,5,95A6-0F2D,"In scenario 1, Hong Kong starts with $449,440,000",Official Code - gg_snes.txt,196
Aerobiz,6,D9A6-04FD,"In scenario 1, Hong Kong starts with $7,453,600,000",Official Code - gg_snes.txt,197
Aerobiz,7,03A6-042D,"In scenario 1, Singapore starts with $400,640,000",Official Code - gg_snes.txt,198
